ID,Date,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,t
AS14.02,2014-04-03,5.75,-0.25,0.0,,,,,,,,,,,,,,,,,46.0
AS14.02,2014-04-04,6.4,-1.2,0.0,,,,,,,,,,,,,,,,,47.0
AS14.02,2014-04-05,7.4,0.0,0.0,,,,,,,,,,,,,,,,,48.0
AS14.02,2014-04-06,4.5,-1.0,0.0,,,,,,,,,,,,,,,,,49.0
AS14.02,2014-04-07,6.8,0.0,0.0,,,,,,,,,,,,,,,,,50.0
AS14.02,2014-04-08,6.25,-0.25,0.0,,,,,,,,,,,,,,,,,51.0
AS14.02,2014-04-09,7.25,-0.5,0.0,,,,,,,,,,,,,,,,,52.0
AS14.02,2014-04-10,7.25,0.25,2.045,,,,,,,,,,,,,,,,,53.0
AS14.02,2014-04-11,6.5,-0.5,0.0,,,,,,,,,,,,,,,,,54.0
AS14.02,2014-04-12,6.0,-2.0,6.985999999999999,,,,,,,,,,,,,,,,,55.0
AS14.02,2014-04-13,7.2,-0.6,0.0,,,,,,,,,,,,,,,,,56.0
AS14.02,2014-04-14,8.0,0.75,84.48800000000001,,,,,,,,,,,,,,,,,57.0
AS14.02,2014-04-15,7.25,-0.5,25.386,,,,,,,,,,,,,,,,,58.0
AS14.02,2014-04-16,6.666666666666667,-0.3333333333333333,0.0,,,,,,,,,,,,,,,,,59.0
AS14.02,2014-04-17,6.5,0.25,0.0,,,,,,,,,,,,,,,,,60.0
AS14.02,2014-04-18,6.5,0.0,0.0,,,,,,,,,,,,,,,,,61.0
AS14.02,2014-04-19,5.666666666666667,-0.6666666666666666,0.0,,,,,,,,,,,,,,,,,62.0
AS14.02,2014-04-20,5.0,-0.6666666666666666,0.0,,,,,,,,,,,,,,,,,63.0
AS14.02,2014-04-21,5.5,-0.5,0.0,,,,,,,,,,,,,,,,,64.0
AS14.02,2014-04-22,5.666666666666667,-1.3333333333333333,106.887,,,,,,,,,,,,,,,,,65.0
AS14.02,2014-04-23,5.5,0.0,1.0,,,,,,,,,,,,,,,,,66.0
AS14.02,2014-04-24,7.0,-0.5,0.0344827586206897,,,,,,,,,,,,,,,,,67.0
AS14.02,2014-04-25,9.0,-1.0,1.0,,,,,,,,,,,,,,,,,68.0
AS14.03,2014-03-21,9.0,1.0,543.588,,,,,,,,,,,,,,,,,33.0
AS14.03,2014-03-22,7.8,0.8,4.35,,,,,,,,,,,,,,,,,34.0
AS14.03,2014-03-23,8.2,-0.2,44.854,,,,,,,,,,,,,,,,,35.0
AS14.03,2014-03-24,7.8,-0.6,0.0,,,,,,,,,,,,,,,,,36.0
AS14.03,2014-03-25,7.8,-0.4,0.0,,,,,,,,,,,,,,,,,37.0
AS14.03,2014-03-26,8.25,0.5,0.0,,,,,,,,,,,,,,,,,38.0
AS14.03,2014-03-27,7.75,0.25,0.0,,,,,,,,,,,,,,,,,39.0
AS14.03,2014-03-28,8.0,-0.5,0.0,,,,,,,,,,,,,,,,,40.0
AS14.03,2014-03-29,8.6,-0.2,0.0,,,,,,,,,,,,,,,,,41.0
AS14.03,2014-03-30,8.4,-0.2,31.955000000000002,,,,,,,,,,,,,,,,,42.0
AS14.03,2014-03-31,7.4,0.4,5.16,,,,,,,,,,,,,,,,,43.0
AS14.03,2014-04-01,7.6,0.4,0.0,,,,,,,,,,,,,,,,,44.0
AS14.03,2014-04-02,7.4,0.2,0.0,,,,,,,,,,,,,,,,,45.0
AS14.03,2014-04-03,7.8,0.0,29.197000000000003,,,,,,,,,,,,,,,,,46.0
AS14.03,2014-04-04,7.8,0.2,0.0,,,,,,,,,,,,,,,,,47.0
AS14.03,2014-04-05,7.6,1.2,0.0,,,,,,,,,,,,,,,,,48.0
AS14.03,2014-04-06,6.8,0.2,0.0,,,,,,,,,,,,,,,,,49.0
AS14.03,2014-04-07,7.4,0.2,0.0,,,,,,,,,,,,,,,,,50.0
AS14.03,2014-04-08,7.4,0.4,0.0,,,,,,,,,,,,,,,,,51.0
AS14.03,2014-04-09,7.8,0.6,0.0,,,,,,,,,,,,,,,,,52.0
AS14.03,2014-04-10,7.4,0.4,0.0,,,,,,,,,,,,,,,,,53.0
AS14.03,2014-04-11,7.6,0.2,4.513,,,,,,,,,,,,,,,,,54.0
AS14.03,2014-04-12,7.666666666666667,0.3333333333333333,9.33,,,,,,,,,,,,,,,,,55.0
AS14.03,2014-04-13,7.4,0.2,0.0,,,,,,,,,,,,,,,,,56.0
AS14.03,2014-04-14,7.0,0.0,17.303,,,,,,,,,,,,,,,,,57.0
AS14.03,2014-04-15,7.6,0.2,0.0,,,,,,,,,,,,,,,,,58.0
AS14.03,2014-04-16,8.0,0.8,7.662000000000001,,,,,,,,,,,,,,,,,59.0
AS14.03,2014-04-17,7.25,0.25,31.331,,,,,,,,,,,,,,,,,60.0
AS14.03,2014-04-18,7.5,0.0,7.954,,,,,,,,,,,,,,,,,61.0
AS14.03,2014-04-19,7.8,0.6,0.0,,,,,,,,,,,,,,,,,62.0
AS14.03,2014-04-20,7.5,0.25,0.0,,,,,,,,,,,,,,,,,63.0
AS14.03,2014-04-21,7.4,0.2,5.461,,,,,,,,,,,,,,,,,64.0
AS14.03,2014-04-22,7.6,0.4,0.0,,,,,,,,,,,,,,,,,65.0
AS14.03,2014-04-23,7.0,0.6,0.0,,,,,,,,,,,,,,,,,66.0
AS14.03,2014-04-24,7.4,-0.2,0.0,,,,,,,,,,,,,,,,,67.0
AS14.03,2014-04-25,7.5,-1.0,10.174,,,,,,,,,,,,,,,,,68.0
AS14.03,2014-04-26,7.5,-0.25,0.0,,,,,,,,,,,,,,,,,69.0
AS14.03,2014-04-27,7.6,-1.4,0.0,,,,,,,,,,,,,,,,,70.0
AS14.03,2014-04-28,7.0,-1.4,13.238,,,,,,,,,,,,,,,,,71.0
AS14.03,2014-04-29,7.2,-0.6,0.0,,,,,,,,,,,,,,,,,72.0
AS14.03,2014-04-30,7.0,-1.2,16.27,,,,,,,,,,,,,,,,,73.0
AS14.03,2014-05-01,7.2,-0.8,12.198,,,,,,,,,,,,,,,,,74.0
AS14.03,2014-05-02,7.6,-1.2,28.902,,,,,,,,,,,,,,,,,75.0
AS14.03,2014-05-03,7.75,-0.4,11.342,,,,,,,,,,,,,,,,,76.0
AS14.03,2014-05-04,7.4,-1.2,0.0,,,,,,,,,,,,,,,,,77.0
AS14.03,2014-05-05,7.25,-1.0,6.155,,,,,,,,,,,,,,,,,78.0
AS14.03,2014-05-06,,,12.061,,,,,,,,,,,,,,,,,79.0
AS14.03,2014-05-07,7.666666666666667,-0.6666666666666666,37.385999999999996,,,,,,,,,,,,,,,,,80.0
AS14.05,2014-03-14,8.0,-1.0,28.656999999999996,,,,,,,,,,,,,,,,,26.0
AS14.05,2014-03-15,6.2,0.0,41.317,,,,,,,,,,,,,,,,,27.0
AS14.05,2014-03-16,6.333333333333333,-0.6666666666666666,28.372999999999998,,,,,,,,,,,,,,,,,28.0
AS14.05,2014-03-17,6.0,-0.4,19.328,,,,,,,,,,,,,,,,,29.0
AS14.05,2014-03-18,7.5,0.25,57.916000000000004,,,,,,,,,,,,,,,,,30.0
AS14.05,2014-03-19,6.75,1.0,15.09,,,,,,,,,,,,,,,,,31.0
